Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ESMI3,MAMI7,Mammillaria missouriensis Sweet,rubber rabbitbrush,Cactaceae
ESMI3,MARO6,"Mammillaria roseiflora (Lahman) D. Weniger, nom. nud.",rubber rabbitbrush,Cactaceae
ESMI3,MASI8,Mammillaria similis Engelm.,rubber rabbitbrush,Cactaceae
ESMI3,MASIR,Mammillaria similis Engelm. var. robustior Engelm.,rubber rabbitbrush,Cactaceae
ESMI3,NEMI3,Neobesseya missouriensis (Sweet) Britton & Rose,rubber rabbitbrush,Cactaceae
ESMI3,NEWI,Neobesseya wissmannii (Hildmann ex K. Schum.) Britton & Rose,rubber rabbitbrush,Cactaceae
ESMI3,NESI3,Neomammillaria similis (Engelm.) Britton & Rose ex Rydb.,rubber rabbitbrush,Cactaceae
ESVI2,ABAB3,Escobaria vivipara (Nutt.) Buxbaum,spinystar,Cactaceae
ESVIA,ABAB3,Escobaria vivipara (Nutt.) Buxbaum var. arizonica (Engelm.) D.R. Hunt,Arizona spinystar,Cactaceae
ESVIA,COAR12,Coryphantha arizonica (Engelm.) Britton & Rose,rubber rabbitbrush,Cactaceae
ESVIA,COVIA2,Coryphantha vivipara (Nutt.) Britton & Rose var. arizonica (Engelm.) W.T. Marshall,rubber rabbitbrush,Cactaceae
ESVIA,MAAR8,Mammillaria arizonica Engelm.,rubber rabbitbrush,Cactaceae
ESVIA,MAVIA,Mammillaria vivipara (Nutt.) Haw. var. arizonica (Engelm.) L.D. Benson,rubber rabbitbrush,Cactaceae
ESVIR,ABAB3,Escobaria vivipara (Nutt.) Buxbaum var. radiosa (Engelm.) D.R. Hunt,spinystar,Cactaceae
ESVIR,COFR10,Coryphantha fragrans Hester,rubber rabbitbrush,Cactaceae
ESVIR,CORA8,Coryphantha radiosa (Engelm.) Rydb.,rubber rabbitbrush,Cactaceae
ESVIR,COVIR,Coryphantha vivipara (Nutt.) Britton & Rose var. radiosa (Engelm.) Backeb.,rubber rabbitbrush,Cactaceae
ESVIR,MAFR7,"Mammillaria fragrans (Hester) D. Weniger, nom. nud.",rubber rabbitbrush,Cactaceae
ESVIR,MAVIR,Mammillaria vivipara (Nutt.) Haw. var. radiosa Engelm.,rubber rabbitbrush,Cactaceae
ESVIV,ABAB3,Escobaria vivipara (Nutt.) Buxbaum var. vivipara,spinystar,Cactaceae
ESVIV,COMIM,Coryphantha missouriensis (Sweet) Britton & Rose var. marstonii (Clover) L.D. Benson,rubber rabbitbrush,Cactaceae
ESVIV,COVI9,Coryphantha vivipara (Nutt.) Britton & Rose,rubber rabbitbrush,Cactaceae
ESVIV,ESMIM,Escobaria missouriensis (Sweet) D.R. Hunt var. marstonii (Clover) D.R. Hunt,rubber rabbitbrush,Cactaceae
ESVIV,MAVI8,Mammillaria vivipara (Nutt.) Haw.,rubber rabbitbrush,Cactaceae
ESVIV,MAVIB,Mammillaria vivipara (Nutt.) Haw. var. borealis Engelm.,rubber rabbitbrush,Cactaceae
EUBR,ABAB3,Euphorbia brachycera Engelm.,horned spurge,Euphorbiaceae
EUBR,EUBRR,Euphorbia brachycera Engelm. var. robusta (Engelm.) Dorn,rubber rabbitbrush,Euphorbiaceae
EUBR,EULU,Euphorbia lurida Engelm.,rubber rabbitbrush,Euphorbiaceae
EUBR,EUMO10,Euphorbia montana Engelm.,rubber rabbitbrush,Euphorbiaceae
EUBR,EUOD2,Euphorbia odontadenia Boiss.,rubber rabbitbrush,Euphorbiaceae
EUBR,EURO5,Euphorbia robusta (Engelm.) Small ex Britton & A. Br.,rubber rabbitbrush,Euphorbiaceae
EUBR,TIBR,Tithymalus brachycera (Engelm.) Small,rubber rabbitbrush,Euphorbiaceae
EUBR,TIMO,Tithymalus montanus (Engelm.) Small,rubber rabbitbrush,Euphorbiaceae
EUBR,TIRO2,Tithymalus robustus (Engelm.) Small,rubber rabbitbrush,Euphorbiaceae
EUBU5,ABAB3,Euonymus bungeanus Maxim.,winterberry euonymus,Celastraceae
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",rubber rabbitbrush,Celastraceae
EUCEP2,ABAB3,Eucephalus Nutt.,aster,Asteraceae
EUCLI,ABAB3,Euclidium W.T. Aiton,mustard,Brassicaceae
EUCR2,ABAB3,Euphorbia crenulata Engelm.,Chinese caps,Euphorbiaceae
EUCR2,TICR,Tithymalus crenulatus (Engelm.) A. Heller,rubber rabbitbrush,Euphorbiaceae
EUCY2,ABAB3,Euphorbia cyparissias L.,cypress spurge,Euphorbiaceae
EUCY2,GACY2,Galarhoeus cyparissias (L.) Small ex Rydb.,rubber rabbitbrush,Euphorbiaceae
EUCY2,TICY,Tithymalus cyparissias (L.) Hill,rubber rabbitbrush,Euphorbiaceae
EUDA5,ABAB3,Euphorbia davidii Subils,David's spurge,Euphorbiaceae
EUDA5,EUDE16,Euphorbia dentata auct. non Michx.,rubber rabbitbrush,Euphorbiaceae
EUDA5,EUDEG,Euphorbia dentata Michx. var. gracillima Millsp.,rubber rabbitbrush,Euphorbiaceae
EUDA5,EUDEL2,Euphorbia dentata Michx. var. lancifolia Farw.,rubber rabbitbrush,Euphorbiaceae
EUDE4,ABAB3,Euphorbia dentata Michx.,toothed spurge,Euphorbiaceae
EUDED,ABAB3,Euphorbia dentata Michx. var. dentata,toothed spurge,Euphorbiaceae
EUDED,ANDE14,Anisophyllum dentatum (Michx.) Haw.,rubber rabbitbrush,Euphorbiaceae
EUDED,EUDEL3,Euphorbia dentata Michx. var. linearis Engelm. ex Boiss.,rubber rabbitbrush,Euphorbiaceae
EUDED,EUDER,Euphorbia dentata Michx. var. rigida Engelm.,rubber rabbitbrush,Euphorbiaceae
EUDED,EUHE11,Euphorbia herronii Riddell,rubber rabbitbrush,Euphorbiaceae
EUDED,PODE7,Poinsettia dentata (Michx.) Klotzsch & Garcke,rubber rabbitbrush,Euphorbiaceae
EUEL2,ABAB3,Eucephalus elegans Nutt.,elegant aster,Asteraceae
EUEL2,ASEL6,"Aster elegans (Nutt.) Torr. & A. Gray, non Willd.",rubber rabbitbrush,Asteraceae
EUEL2,ASPE3,Aster perelegans A. Nelson & J.F. Macbr.,rubber rabbitbrush,Asteraceae
EUEL2,EUPE17,Eucephalus perelegans (A. Nelson & J.F. Macbr.) W.A. Weber,rubber rabbitbrush,Asteraceae
EUEN,ABAB3,Eucephalus engelmannii (D.C. Eaton) Greene,Engelmann's aster,Asteraceae
EUEN,ASELE,Aster elegans (Nutt.) Torr. & A. Gray var. engelmannii D.C. Eaton,rubber rabbitbrush,Asteraceae
EUEN,ASEN2,Aster engelmannii (D.C. Eaton) A. Gray,rubber rabbitbrush,Asteraceae
EUES,ABAB3,Euphorbia esula L.,leafy spurge,Euphorbiaceae
EUESE,ABAB3,Euphorbia esula L. var. esula,leafy spurge,Euphorbiaceae
EUESE,EUIN10,Euphorbia intercedens Podp.,rubber rabbitbrush,Euphorbiaceae
EUESE,EUPO9,Euphorbia podperae Croizat,rubber rabbitbrush,Euphorbiaceae
EUESE,EUPS2,Euphorbia pseudovirgata (Schur) Soó,rubber rabbitbrush,Euphorbiaceae
EUESE,GAES,Galarhoeus esula (L.) Rydb.,rubber rabbitbrush,Euphorbiaceae
EUESE,TIES,Tithymalus esula (L.) Hill,rubber rabbitbrush,Euphorbiaceae
EUESU,ABAB3,Euphorbia esula L. var. uralensis (Fisch. ex Link) Dorn,Russian leafy spurge,Euphorbiaceae
